time_period,area_gnrl_country_ha,climate_change_factor_gnrl_hydropower_availability,elasticity_gnrl_rate_occupancy_to_gdppc,frac_gnrl_eating_red_meat,gdp_mmm_usd,limit_gnrl_annual_emissions_mt_ch4,limit_gnrl_annual_emissions_mt_co2,limit_gnrl_annual_emissions_mt_n2o,occrateinit_gnrl_occupancy,population_gnrl_rural,population_gnrl_urban,va_commercial_mmm_usd,va_industrial_mmm_usd,va_manufacturing_mmm_usd,va_mining_mmm_usd
21,5113100.0,1.0,-0.1,0.79,110.7084456,-999.0,-999.0,-999.0,3.145207224,1674776.0,3954723.0,79.50074256,21.80766246,13.25730139,6.006614932000001
22,5113100.0,1.0,-0.1,0.78,114.6248886,-999.0,-999.0,-999.0,3.145207224,1667323.0,3984621.0,82.33907012,22.63271908,13.76112757,6.224302253999999
23,5113100.0,1.0,-0.1,0.77,118.6799475,-999.0,-999.0,-999.0,3.145207224,1659388.0,4013735.0,85.27635393,23.49303873,14.28760694,6.450089021
24,5113100.0,1.0,-0.1,0.76,122.8785235,-999.0,-999.0,-999.0,3.145207224,1650984.0,4042064.0,88.3158834,24.39018952,14.83783832,6.68428089
25,5113100.0,1.0,-0.1,0.75,127.2256909,-999.0,-999.0,-999.0,3.145207224,1642122.0,4069605.0,91.46103932,25.32580491,15.41296606,6.927195331
26,5113100.0,1.0,-0.1,0.74,131.7267032,-999.0,-999.0,-999.0,3.145207224,1632809.0,4096345.0,94.71529351,26.3015873,16.01418179,7.179162458
27,5113100.0,1.0,-0.1,0.73,136.3869992,-999.0,-999.0,-999.0,3.145207224,1623058.0,4122279.0,98.08223058,27.31930573,16.64272962,7.440523291
28,5113100.0,1.0,-0.1,0.72,141.2122101,-999.0,-999.0,-999.0,3.145207224,1612873.0,4147386.0,101.5655288,28.38080567,17.29990504,7.711633128
29,5113100.0,1.0,-0.1,0.71,146.2081664,-999.0,-999.0,-999.0,3.145207224,1602249.0,4171623.0,105.1689578,29.48801404,17.98705684,7.992862845
30,5113100.0,1.0,-0.1,0.7,151.3809042,-999.0,-999.0,-999.0,3.145207224,1591194.0,4194965.0,108.8964306,30.64292727,18.7055965,8.284593465
31,5113100.0,1.0,-0.1,0.7,156.7366727,-999.0,-999.0,-999.0,3.145207224,1579717.0,4217411.0,112.7520034,31.84761623,19.45699951,8.587217436
32,5113100.0,1.0,-0.1,0.7,162.2819423,-999.0,-999.0,-999.0,3.145207224,1567831.0,4238952.0,116.7398659,33.10423441,20.24280569,8.901141124
33,5113100.0,1.0,-0.1,0.7,168.0234115,-999.0,-999.0,-999.0,3.145207224,1555549.0,4259587.0,120.8643507,34.41501926,21.0646224,9.226784771
34,5113100.0,1.0,-0.1,0.7,173.9680161,-999.0,-999.0,-999.0,3.145207224,1542882.0,4279316.0,125.1299356,35.78229664,21.92412658,9.564583555
35,5113100.0,1.0,-0.1,0.7,180.1229363,-999.0,-999.0,-999.0,3.145207224,1529843.0,4298132.0,129.5412485,37.20848398,22.82306754,9.914988205
