Transformer ID,Transformer,Sector,Transformer Code,Description,Variables Affected,,,,
1020,LSMM: Increase biogas capture at anaerobic decomposition facilities,AF,TX:LSMM:INC_CAPTURE_BIOGAS,Increase the fraction of biogas that is captured at manure treated at anaerobic livestock manure treatment facilities,,,,,
1024,LVST: Decrease exports,AF,TX:LVST:DEC_EXPORTS,Decrease exports of livestock and livestock products by 50% (relative to final time period),,,,,
1025,LVST: Increase livestock productivity,AF,TX:LVST:INC_PRODUCTIVITY,Increase inferred livestock carrying capacity by 20%,,,,,
1027,LVST: Reduce enteric fermentation,AF,TX:LVST:DEC_ENTERIC_FERMENTATION,Reduce enteric fermentation,,,,,
1028,SOIL: Improve fertilizer application,AF,TX:SOIL:DEC_N_APPLIED,Decrease total nitrogen applied  through more precise fertilizer use (default 5%),,,,,
1029,SOIL: Improve lime application,AF,TX:SOIL:DEC_LIME_APPLIED,Decrease lime applied to soils (default 5%),,,,,
2002,TRWW: Increase biogas capture,CE,TX:TRWW:INC_CAPTURE_BIOGAS,,,,,,
2003,TRWW: Increase septic compliance,CE,TX:TRWW:INC_COMPLIANCE_SEPTIC,,,,,,
2005,WALI: Improved industrial wastewater treatment,CE,TX:WALI:INC_TREATMENT_INDUSTRIAL,,,,,,
2006,WALI: Improved rural wastewater treatment,CE,TX:WALI:INC_TREATMENT_RURAL,,,,,,
2007,WALI: Improved urban wastewater treatment,CE,TX:WALI:INC_TREATMENT_URBAN,,,,,,
2009,WASO: Biogas for energy production,CE,TX:WASO:INC_ENERGY_FROM_BIOGAS,Increase the fraction of biogas that is collected that is used for energy,,,,,
2010,WASO: Consumer food waste reduction,CE,TX:WASO:DEC_CONSUMER_FOOD_WASTE,Reduce the amount of food waste generated per capita,,,,,
2011,WASO: Incineration for energy production,CE,TX:WASO:INC_ENERGY_FROM_INCINERATION,,,,,,
2012,WASO: Increase biogas capture,CE,TX:WASO:INC_CAPTURE_BIOGAS,Increase fraction of biogas captured from landfills and anaerobic digesters,,,,,
2013,WASO: Increase composting and biogas,CE,TX:WASO:INC_ANAEROBIC_AND_COMPOST,"Increase the fraction of yard, food, and sludge waste that is treated by anaerobic digesters or compost",,,,,
2014,WASO: Increase landfilling,CE,TX:WASO:INC_LANDFILLING,"Increase fraction of waste that is otherwise untreated (i.e., post recycling, composting, etc.) that is sent to landfills",,,,,
2015,WASO: Increase recycling,CE,TX:WASO:INC_RECYCLING,,,,,,
3001,CCSQ: Increase direct air capture,EN,TX:CCSQ:INCREASE_CAPTURE,Increase Direct Air Capture deployment to 50 MT CO2e by 2050,,,,,
3003,ENTC: 95% of electricity is generated by renewables in 2050,EN,TX:ENTC:TARGET_RENEWABLE_ELEC,Set a target for renewable electricity. Includes minimum targets for specific renewable energy technologies. ,,,,,
3004,ENTC: Least cost solution,EN,TX:ENTC:LEAST_COST,,,,,,
3005,ENTC: Reduce transmission losses,EN,TX:ENTC:DEC_LOSSES,Decrease transmission losses by upgrading electrical transmission infrastructure.,,,,,
3009,FGTV: Maximize flaring,EN,TX:FGTV:INC_FLARE,,,,,,
3011,FGTV: Minimize leaks,EN,TX:FGTV:DEC_LEAKS,,,,,,
,INEN: Fuel switch high- and low-temp thermal processes. ,EN,TX:INEN:FUEL_SWITCH_HI_AND_LO_HEAT,"If combining fuel switching in high and low heat in industrial proccessus, use this transformation to avoid mathematical errors.",,,,,
3015,INEN: Fuel switch low-temp thermal processes to industrial heat pumps,EN,TX:INEN:FUEL_SWITCH_LO_HEAT,,,,,,
3017,INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity,EN,TX:INEN:FUEL_SWITCH_HI_HEAT,,,,,,
3019,INEN: Maximize industrial energy efficiency,EN,TX:INEN:INC_EFFICIENCY_ENERGY,,,,,,
3021,INEN: Maximize industrial production efficiency,EN,TX:INEN:INC_EFFICIENCY_PRODUCTION,,,,,,
3025,SCOE: Increase appliance efficiency,EN,TX:SCOE:INC_EFFICIENCY_APPLIANCE,,,,,,
3027,SCOE: Reduce end-use demand for heat energy by improving building shell,EN,TX:SCOE:DEC_DEMAND_HEAT,,,,,,
3029,"SCOE: Switch to electricity for heat using heat pumps, electric stoves, etc.",EN,TX:SCOE:FUEL_SWITCH_HEAT,,,,,,
3035,TRNS: Electrify light duty road transport,EN,TX:TRNS:FUEL_SWITCH_LIGHT_DUTY,,,,,,
3037,TRNS: Electrify rail,EN,TX:TRNS:FUEL_SWITCH_RAIL,,,,,,
3041,TRNS: Fuel switch maritime,EN,TX:TRNS:FUEL_SWITCH_MARITIME,,,,,,
3043,TRNS: Fuel switch medium duty road transport,EN,TX:TRNS:FUEL_SWITCH_MEDIUM_DUTY,,,,,,
3045,TRNS: Increase occupancy for private vehicles,EN,TX:TRNS:INC_OCCUPANCY,,,,,,
3047,TRNS: Increase transportation energy efficiency,EN,TX:TRNS:INC_EFFICIENCY,,,,,,
3051,TRNS: Mode shift freight,EN,TX:TRNS:MODE_SHIFT_FREIGHT,,,,,,
3053,TRNS: Mode shift passenger vehicles to others,EN,TX:TRNS:MODE_SHIFT_PASSENGER,,,,,,
3055,TRNS: Mode shift regional passenger travel,EN,TX:TRNS:MODE_SHIFT_REGIONAL,,,,,,
3057,TRDE: Reduce demand for transport,EN,TX:TRDE:DEC_DEMAND,,,,,,
4001,IPPU: Demand management,IP,TX:IPPU:DEC_DEMAND,,,,,,
4002,IPPU: Reduce cement clinker,IP,TX:IPPU:DEC_CLINKER,Reduces use of clinker in cement production,,,,,
4004,IPPU: Reduce Nitrous Oxide emissions,IP,TX:IPPU:DEC_N2O,,,,,,
4005,IPPU: Reduce other fluorinated compounds,IP,TX:IPPU:DEC_OTHER_FCS,"Includes SF6, NF3, HCFCs, and others",,,,,
4006,IPPU: Reduce use of HFCs,IP,TX:IPPU:DEC_HFCS,,,,,,
4007,IPPU: Reduce use of PFCs,IP,TX:IPPU:DEC_PFCS,,,,,,
5001,GNRL: Reduce per capita red meat consumption,IP,TX:GNRL:DEC_RED_MEAT_CONSUMPTION,,,,,,
6001,PFLO: Industrial carbon capture and sequestration,CROSS,TX:PFLO:IND_INC_CCS,Affects both INEN and IPPU.,,,,,
,AGRC: Decrease demand for unhealthy crops,AF,TX:AGRC_DEC_DEMAND_FOR_UNHEALTHY_CROPS,,,,,,
,LNDU: Decrease deforestation and increase silvopasture at the same time,AF,TX:LNDU:DEC_DEFORESTATION_AND_INC_SILVOPASTURE,,,,,,
