Variable Type,Variable,Information,Variable Schema,Categories,Reference,Default Value,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Simplex Group,Emissions Total by Gas Component,``$CAT-SOIL-MANAGEMENT$``,Notes
Input,Land Use Fraction Tropical," | Used to calculate :math:`\text{N}_2\text{O}` emissions from organic soils. 
 | 
 | Land Use Fraction Temperate and Land Use Fraction Tropical must sum to 1",``frac_lndu_$CAT-LANDUSE$_cl1_tropical``,``grasslands``,,0,1,1,4,0,``tropical_crop_grass``,
Input,Land Use Fraction Wet," | Used to calculate :math:`\text{N}_2\text{O}` emissions from fertilizer application
 | 
 | Land Use Fraction Dry and Land Use Fraction Wet must sum to 1",``frac_lndu_$CAT-LANDUSE$_cl2_wet``,``grasslands``|``other``|``settlements``,,0,1,1,3,0,``wet_climate``,
Input,Land Use Yield Reallocation Factor,"The land use yield reallocation factor :math:`\eta \in [0, 1]` is used to represent land use responsiveness to changes in demands. 
 | 
 | If :math:`\eta = 1`, then **land use will be reallocated**, diverging from the specified transition matrix. If demands exceed carrying capacity to meet all livestock and crop demands, then the transitions into grassland and cropland are increased to meet demands. If the carrying capacity exceeds demand, then transitions to grassland and croplands are reduced (which also increases forested land). 
 | 
 | If :math:`\eta = 0`, then **land use will remain as specified**, and all remaining demands with be met with net imports. If the demand is less then carrying capacity, then there is an increase in net exports; if demand exceeds carrying capacity, there is an increase in net imports.
 | 
 | For :math:`\eta \in (0, 1)`, there is a mix of reallocation and net imports, which scales linearly between extremes.
",``lndu_reallocation_factor``,none,,0,0,2,,0,none,
Input,Maximum Soil Carbon Land Input Factor Without Manure," | See :math:`F_{I}` in Equation 2.25 and Box 2.2, V4, C2 IPPC GNGHGI (2019R). 
 | 
 | Used to represent supremum of soil carbon storage if residues are used as inputs (no manure)",``factor_lndu_soil_inputs_supremum_without_manure_$CAT-LANDUSE$``,``croplands``,,1,1,1,,0,none,
Input,Maximum Soil Carbon Land Management Factor," | See :math:`F_{MG}` in Equation 2.25 and Box 2.2, V4, C2 IPPC GNGHGI (2019R) and Table 5.5.
 |
 | Used to represent supremum of soil carbon storage due to management practices if no-till is used (croplands) or with sustainable management (grasslands)",``factor_lndu_soil_management_supremum_$CAT-LANDUSE$``,``croplands``|``grasslands``,,1,1,1,,0,none,
Input,Pasture Fraction of Grassland,Proportion of grasslands that are available as pastures. Used in land use reallocation and fertilizer application.,``frac_lndu_proportion_$CAT-LANDUSE$_pasture``,``grasslands``,,0,1,1,,0,none,
Input,Soil Carbon Land Use Factor,"See :math:`F_{LU}` in Equation 2.25 and Box 2.2, V4, C2 IPPC GNGHGI (2019R)",``factor_lndu_soil_carbon_$CAT-LANDUSE$``,all,,0,1,1,,0,none,
Input,Unadjusted Land Use Transition Probability,Transition probability in Markov Chain model,``pij_lndu_$CAT-LANDUSE-DIM1$_to_$CAT-LANDUSE-DIM2$``,all,,0,1,1,2,0,none,
Input,Unimproved Soil Carbon Land Management Factor," | See :math:`F_{MG}` in Equation 2.25 and Box 2.2, V4, C2 IPPC GNGHGI (2019R). 
 | 
 | Represents the base land management factor for all unimproved lands (**excludes** improved lands) in croplands and grasslands ",``factor_lndu_soil_management_unimproved_$CAT-LANDUSE$``,``croplands``|``grasslands``,,1,1,1,,0,none,
Input,Vegetarian Diet Exchange Scalar,This scalar is applied to per capita crop demand for the proportion of the population that is vegetarian. ,``scalar_lndu_vegetarian_dietary_exchange``,none,,0,0.6,1.4,,0,none,
Output,:math:`\text{CH}_4` Emissions from Wetlands,,``emission_co2e_$EMISSION-GAS$_lndu_wetlands`` (``$EMISSION-GAS$ = ch4``),none,,0,1,1,,1,none,
Output,:math:`\text{CO}_2` Emissions from Conversion Away from Land Use Type,Emissions calculated by converting away from each land use type,``emission_co2e_$EMISSION-GAS$_lndu_conversion_away_$CAT-LANDUSE$`` (``$EMISSION-GAS$ = co2``),all,,0,1,1,,1,none,
Output,:math:`\text{CO}_2` Emissions from Land Use Conversion,Emissions from conversion from category I to category j,``emission_co2e_$EMISSION-GAS$_lndu_conversion_$CAT-LANDUSE-DIM1$_to_$CAT-LANDUSE-DIM2$`` (``$EMISSION-GAS$ = co2``),all,,0,1,1,,0,none,
Output,Area of Improved Land," | Area of lands improved, in configuration units. For Croplands, is associated with no-till (increase in :math:`F_{MG}`), while in Grasslands, it is associated with sustainable grazing. 
 | 
 | **NOTE**: For grasslands, only pastures can be improved using :math:`F_{MG}`, and so the area of grasslands that are improved has a maximum of the :math:`A_Gp`, where :math:`A_G` is the area of grasslands and :math:`0 \leq p \leq 1` is the pasture fraction.",``area_lndu_improved_$CAT-LANDUSE$``,``croplands``|``grasslands``,,0,1,1,,0,none,
Output,Area of Land Use Converted,,``area_lndu_conversion_from_$CAT-LANDUSE-DIM1$_to_$CAT-LANDUSE-DIM2$``,all,,0,1,1,,0,none,
Output,Area of Land Use Converted Away from Type,,``area_lndu_conversion_from_$CAT-LANDUSE$``,all,,0,1,1,,0,none,
Output,Area of Land Use Converted to Type,,``area_lndu_conversion_to_$CAT-LANDUSE$``,all,,0,1,1,,0,none,
Output,Land Use Area,Area of each land use category,``area_lndu_$CAT-LANDUSE$``,all,,0,1,1,,0,none,Internally calcualted using Markov with non-stationary transition probabilities.
