transformer_id,transformer,sector,transformer_code,description,description_long,units_description,citations,variables_affected
18,LSMM: Improve manure management for cattle and pigs,AF,TFR:LSMM:INC_MANAGEMENT_CATTLE_PIGS," | 95% of manure from cattle (dairy and non-dairy) and pigs is treated. Under default conditions, the manure treated is sent to the following pathways:
 |    37.5% to Anaerobic Digestion
 |    12.5% to Composting
 |    25.0% to Daily Spread
 |    12.5% to Deep Bedding
 |    12.5% to Solid Storage",,Fractions of cattle and pig manure managed by each LSMM management pathway. Can specify any target pathway.  ,,
19,LSMM: Improve manure management for other animals,AF,TFR:LSMM:INC_MANAGEMENT_OTHER," | 95% of manure from all other animals is treated. The manure treated is sent to the following pathways:
 |    37.5.% to Composting
 |    12.5% to Dry Lot
 |    25.0% to Daily Spread
 |    25.0% to Solid Storage",,"Fractions of non cattle, pig, or poultry manure managed by each LSMM management pathway. Can specify any target pathway.  ",,
20,LSMM: Improve manure management for poultry,AF,TFR:LSMM:INC_MANAGEMENT_POULTRY," | 95% of manure from poultry (chickens) and pigs is treated. The manure treated is sent to the following pathways:
 |    100% to Poultry Management",,Fractions of poultry manure managed by each LSMM management pathway. Can specify any target pathway.  ,,
21,LVST: Reduce enteric fermentation,AF,TFR:LVST:DEC_ENTERIC_FERMENTATION,"Reduce enteric fermentation through feed switching, methanogenic vaccines, and other processes.",,Fractional reduction in enteric fermentation across all classes,,
22,LVST: Decrease exports,AF,TFR:LVST:DEC_EXPORTS,Decrease exports of livestock and livestock products by 50% (relative to final time period),,Fractional reduction in livestock exports,,
23,LVST: Increase livestock productivity,AF,TFR:LVST:INC_PRODUCTIVITY,Increase inferred livestock carrying capacity by 20%,,Fractional increase in livestock productivity,,
24,SOIL: Improve lime application,AF,TFR:SOIL:DEC_LIME_APPLIED,Decrease lime applied to soils (default 5%),,Fractional decrease in lime applied to soils,,
25,SOIL: Improve fertilizer application,AF,TFR:SOIL:DEC_N_APPLIED,Decrease total nitrogen applied  through more precise fertilizer use (default 5%),,Fractional decrease in fertilizer N applied to soils,,
26,TRWW: Increase biogas capture,CE,TFR:TRWW:INC_CAPTURE_BIOGAS,Capture biogas at wastewater treatment facilities. Default capture level is 85%.,Capture biogas at wastewater treatment facilities. Default capture level is 85%.,Minimum target fraction of anaerobic wastewater treatment facilties with biogas capture.,,
27,TRWW: Increase septic compliance,CE,TFR:TRWW:INC_COMPLIANCE_SEPTIC,"Increase compliance of septic tanks when in use; compliance reduces emissions from leaking, overflows, and static wastewater.","Increase compliance of septic tanks when in use; compliance reduces emissions from leaking, overflows, and static wastewater.",Minimum target fraction of septic tanks under full compliance.,,
28,WALI: Improved industrial wastewater treatment,CE,TFR:WALI:INC_TREATMENT_INDUSTRIAL,Increase the treatment of industrial wastewater. The default pathway will send 80% of industrial wastewater to anaerobic tertiary treatment; 10% to secondary aerobic; and 10% to secondary anaerobic. ,Increase the treatment of industrial wastewater. The default pathway will send 80% of industrial wastewater to anaerobic tertiary treatment; 10% to secondary aerobic; and 10% to secondary anaerobic. ,Target minimal fractional mix of wastewater treatment pathways at industrial facilities. Can specify any target pathway.,,
29,WALI: Improved rural wastewater treatment,CE,TFR:WALI:INC_TREATMENT_RURAL,Increase the treatment of rural wastewater. The default pathway will send 100% of rural wastewater to septic tanks.,Increase the treatment of rural wastewater. The default pathway will send 100% of rural wastewater to septic tanks.,Target minimal fractional mix of wastewater treatment pathways in rural areas. Can specify any target pathway.,,
30,WALI: Improved urban wastewater treatment,CE,TFR:WALI:INC_TREATMENT_URBAN,Increase the treatment of urban wastewater. The default pathway will send 30% of industrial wastewater to anaerobic tertiary treatment; 30% to aerobic tertiary treatment; 20% to secondary aerobic; and 20% to secondary anaerobic. ,Increase the treatment of urban wastewater. The default pathway will send 30% of industrial wastewater to anaerobic tertiary treatment; 30% to aerobic tertiary treatment; 20% to secondary aerobic; and 20% to secondary anaerobic. ,Target minimal fractional mix of wastewater treatment pathways in urban areas. Can specify any target pathway.,,
31,WASO: Consumer food waste reduction,CE,TFR:WASO:DEC_CONSUMER_FOOD_WASTE,Reduce the amount of food waste generated per capita,,Fractional reduction in per capita food waste generated relative to final time period,,
32,WASO: Increase composting and biogas,CE,TFR:WASO:INC_ANAEROBIC_AND_COMPOST,"Increase the fraction of yard, food, and sludge waste that is treated by anaerobic digesters or compost",,Fractional targets of organic waste treated via composting and anaerobic digesters. Can specify different fractions.,,
33,WASO: Increase biogas capture,CE,TFR:WASO:INC_CAPTURE_BIOGAS,Increase fraction of biogas captured from landfills and anaerobic digesters,,Minimum target fraction of anaerobic solid waste disposal facilties (landfills and digesters) with biogas capture.,,
34,WASO: Biogas for energy production,CE,TFR:WASO:INC_ENERGY_FROM_BIOGAS,Increase the fraction of biogas that is collected that is used for energy,,Target minmum fraction of captured biogas that is used for energy production.,,
35,WASO: Incineration for energy production,CE,TFR:WASO:INC_ENERGY_FROM_INCINERATION,Increases the fraction of waste incinerated that is used for energy. Default fraction is 85%.,Increases the fraction of waste incinerated that is used for energy. Default fraction is 85%.,Target minmum fraction of waste that is incinerated for energy.,,
36,WASO: Increase landfilling,CE,TFR:WASO:INC_LANDFILLING,"Increase fraction of waste that is otherwise untreated (i.e., post recycling, composting, etc.) that is sent to landfills",,Target fraction of waste **that is not otherwise recycled (including composting for organics)** that is sent to landfills.,,
37,WASO: Increase recycling,CE,TFR:WASO:INC_RECYCLING,Increases the magnitude of recyclable waste that is recycled--food and yard waste are included in this transformation and sent to composting. The default is 95%.,Increases the magnitude of recyclable waste that is recycled--food and yard waste are included in this transformation and sent to composting. The default is 95%.,Target fraction of waste that is recycled (organic and yard waste are composted).,,
38,CCSQ: Increase direct air capture,EN,TFR:CCSQ:INC_CAPTURE,Increase Direct Air Capture deployment to 50 MT CO2e by final time period.,,Exogenous specification of installed capacity of direct air capture facilities in variable units.,,
39,ENFU: Adjust Exports,EN,TFR:ENFU:ADJ_EXPORTS,Increase OR Decrease exports of fuels,,Fractional increase (+) or decrease (-) in exports relative to final time period. ,,
40,ENFU: Adjust Prices,EN,TFR:ENFU:ADJ_PRICES,Increase OR Decrease fuel prices,,Fractional increase (+) or decrease (-) in prices relative to final time period. ,,
41,ENTC: Reduce transmission losses,EN,TFR:ENTC:DEC_LOSSES,Decrease transmission losses by upgrading electrical transmission infrastructure.,,Target maximum fraction of electricity transmitted that is lost through inefficient or insufficient electricity infrastructure.,,
42,ENTC: Least cost solution,EN,TFR:ENTC:LEAST_COST_SOLUTION,Solve only for the least cost solution for electricity and fuel production; eliminates any restrictions on expected shares of production.,Solve only for the least cost solution for electricity and fuel production; eliminates any restrictions on expected shares of production.,Implement the least cost NEMO solution without renewable targets.,,
43,ENTC: Clean hydrogen,EN,TFR:ENTC:TARGET_CLEAN_HYDROGEN,Set a target for clean hydrogen production. ,,Fraction of hydrogen coming from electrolysis.,,
44,ENTC: 95% of electricity is generated by renewables in final time period,EN,TFR:ENTC:TARGET_RENEWABLE_ELEC,Set a target for renewable electricity. Includes minimum targets for specific renewable energy technologies. ,,"Implement a target production share from renewables (renewable technologies are specified in input file). Additinoally, can implement minimum shares from specific technology.",,
45,FGTV: Minimize leaks,EN,TFR:FGTV:DEC_LEAKS,"Decrease leaks in fugitive emissions from the distribution, transmission, and transportation of fuels. Default reduction is 80%.","Decrease leaks in fugitive emissions from the distribution, transmission, and transportation of fuels. Default reduction is 80%.","Fractional reduction in CO2, CH4, and N2O leaks from fugitive emissions.",,
46,FGTV: Maximize flaring,EN,TFR:FGTV:INC_FLARE,Shift from venting to flaring to shift methane emissions to CO2; default magnitude is 80%. ,Shift from venting to flaring to shift methane emissions to CO2; default magnitude is 80%. ,Fraction of otherwise vented gas that is flared instead.,,
47,INEN: Maximize industrial energy efficiency,EN,TFR:INEN:INC_EFFICIENCY_ENERGY,Increase the energy efficiency of industrial production processes. Default value is 30%. ,Increase the energy efficiency of industrial production processes. Default value is 30%. ,Fractional improvement in average industrial technology efficiency.,,
48,INEN: Maximize industrial production efficiency,EN,TFR:INEN:INC_EFFICIENCY_PRODUCTION,Increase the production efficiency of industrial production processes (increases production per unit of demand). Default value is 40%. ,Increase the production efficiency of industrial production processes (increases production per unit of demand). Default value is 40%. ,"Fractional improvement in production (e.g., kj/tonne) efficiency. ",,
49,INEN: Fuel switch high- and low-temp thermal processes,EN,TFR:INEN:SHIFT_FUEL_HEAT,Transformations for both (and/or) low and high-heat should be implemented using this transformer. ,,This transformation can be specified to shift 90% of both low (to electricity) and high (depending on industry) heat (to electricity and hydrogen).,,
50,SCOE: Reduce end-use demand for heat energy by improving building shell,EN,TFR:SCOE:DEC_DEMAND_HEAT,Reduce the demand for heat energy (cooking and heating) in residential and commercial buildings through insulation and building improvements. Default value is 50%.,Reduce the demand for heat energy (cooking and heating) in residential and commercial buildings through insulation and building improvements. Default value is 50%.,Fractional change in heat demand in buildings.,,
51,SCOE: Increase appliance efficiency,EN,TFR:SCOE:INC_EFFICIENCY_APPLIANCE,"Increase the efficiency of electrical appliances in residential and commercial buildings through technological advances (e.g., efficiency programs and regulations). Default is 50%.","Increase the efficiency of electrical appliances in residential and commercial buildings through technological advances (e.g., efficiency programs and regulations). Default is 50%.",Fractional increase in the efficiency of electrical appliances in buildings (residential and commercial/municipal).,,
52,SCOE: Increase heat efficiency,EN,TFR:SCOE:INC_EFFICIENCY_HEAT,"Increase the efficiency of heat technologies in residential and commercial buildings through technological advances (e.g., efficiency programs and regulations). Default is 20%.","Increase the efficiency of heat technologies in residential and commercial buildings through technological advances (e.g., efficiency programs and regulations). Default is 20%.",Fractional increase in the efficiency of heat delivery technologies in buildings (residential and commercial/municipal). Non-electric efficiencies are capped at 1.,,
53,"SCOE: Switch to electricity for heat using heat pumps, electric stoves, etc.",EN,TFR:SCOE:SHIFT_FUEL_HEAT,Shift heating and cooking energy to other fuels through technology switching. Default is to shift 95% to electricity.,Shift heating and cooking energy to other fuels through technology switching. Default is to shift 95% to electricity.,Fraction of heat energy switched to electricity.,,
54,TRDE: Reduce demand for transport,EN,TFR:TRDE:DEC_DEMAND,Reduce demand for transportation through better planning and infrastructure. Default is 25%.,Reduce demand for transportation through better planning and infrastructure. Default is 25%.,"Fractional reduction in aggregate transportation demand by TRDE demand type (e.g., public_private, regional, or freight)",,
55,TRNS: Increase electric transportation energy efficiency,EN,TFR:TRNS:INC_EFFICIENCY_ELECTRIC,"Increase the efficiency of electricity vehicles (e.g., reduce KWh/km). Default is 25%.","Increase the efficiency of electricity vehicles (e.g., reduce KWh/km). Default is 25%.",Fractional increase in electric vehicle efficiency against the final time period.,,
56,TRNS: Increase non-electric transportation energy efficiency,EN,TFR:TRNS:INC_EFFICIENCY_NON_ELECTRIC,"Increase the efficiency of non-electric vehicles (e.g., increase km/l). Default is 25%.","Increase the efficiency of non-electric vehicles (e.g., increase km/l). Default is 25%.",Fractional increase in non-electric vehicle efficiency against the final time period,,
57,TRNS: Increase occupancy for private vehicles,EN,TFR:TRNS:INC_OCCUPANCY_LIGHT_DUTY,"Increase the occupancy of light duty vehicles; e.g., through carpooling . Default value is 25%.","Increase the occupancy of light duty vehicles; e.g., through carpooling . Default value is 25%.",Fractional increase in the average occupancy rate of private vehicles.,,
58,TRNS: Electrify light duty road transport,EN,TFR:TRNS:SHIFT_FUEL_LIGHT_DUTY,Shift light-duty fuels to less carbon-intensive sources. Default is to shift 70% to electricity.,Shift light-duty fuels to less carbon-intensive sources. Default is to shift 70% to electricity.,Minimum target fraction of light duty vehicles fueled by electricity. Can be used to explore other fuel shifts through a dictionary.,,
59,TRNS: Fuel switch maritime,EN,TFR:TRNS:SHIFT_FUEL_MARITIME,Shift maritime (boats and ships) fuels to less carbon-intensive sources. Default is to shift 70% to hydrogen.,Shift maritime (boats and ships) fuels to less carbon-intensive sources. Default is to shift 70% to hydrogen.,"Minimum target fraction of maritime transportation fueled by hydrogen. Can be used to explore other fuels, such as ammonia, through a dictionary.",,
60,TRNS: Fuel switch medium duty road transport,EN,TFR:TRNS:SHIFT_FUEL_MEDIUM_DUTY,Shift medium-duty fuels to less carbon-intensive sources. Default is to shift 70% to electricity.,Shift medium-duty fuels to less carbon-intensive sources. Default is to shift 70% to electricity.,Minimum target fraction of medium duty transportation fueled by electricity. Can be used to explore other fuel shifts through a dictionary.,,
61,TRNS: Electrify rail,EN,TFR:TRNS:SHIFT_FUEL_RAIL,Shift rail (freight and passenger) fuels to less carbon-intensive sources. Default is to shift 25% to electricity.,Shift rail (freight and passenger) fuels to less carbon-intensive sources. Default is to shift 25% to electricity.,Minimum target fraction of rail fueled by electricity. Can be used to explore other fuel shifts through a dictionary.,,
62,TRNS: Mode shift freight,EN,TFR:TRNS:SHIFT_MODE_FREIGHT,Mode shift some percentage of freight demand to other modes. Default is to shift 20% from aviation and road to rail. ,Mode shift some percentage of freight demand to other modes. Default is to shift 20% from aviation and road to rail. ,Fraction of freight demand shifted from aviation and road transport to rail. Additional mode shifts can be explored through a dictionary.,,
63,TRNS: Mode shift passenger vehicles to others,EN,TFR:TRNS:SHIFT_MODE_PASSENGER,"Mode shift some percentage of day-to-day passenger demand to other modes. Default is to shift 30% from light-duty cars to e-mobility, walking and biking, and public transportation.","Mode shift some percentage of day-to-day passenger demand to other modes. Default is to shift 30% from light-duty cars to e-mobility, walking and biking, and public transportation.",Fraction of passenger demand shifted from light-duty road PKMT to other forms (default is human powered and light-weight mobility). Additional mode shifts can be explored through a dictionary.,,
64,TRNS: Mode shift regional passenger travel,EN,TFR:TRNS:SHIFT_MODE_REGIONAL,Mode shift some percentage of regional passenger demand to other modes. Default is to shift 10% of aviation and 20% of regional light-duty demands to passenger rail.,Mode shift some percentage of regional passenger demand to other modes. Default is to shift 10% of aviation and 20% of regional light-duty demands to passenger rail.,Fraction of regional passenger demand shifted from light-duty road and aviation PKMT to heavy-duty road.,,
65,IPPU: Reduce cement clinker,IP,TFR:IPPU:DEC_CLINKER,Reduces use of clinker in cement production,,Fractional reduction in clinker use in cement production.,,
66,IPPU: Demand management,IP,TFR:IPPU:DEC_DEMAND,"Decrease production demands of industry. If Implemented, default value is 30%.","Decrease production demands of industry. If Implemented, default value is 30%.",Fractional reduction in production demand. NOTE: This transformer is not commonly used.,,
67,IPPU: Reduce use of HFCs,IP,TFR:IPPU:DEC_HFCS,"Decrease the emission of HFCs in industrial processes through technological change, leak control, and discontinuation of use. Default value is 10%.","Decrease the emission of HFCs in industrial processes through technological change, leak control, and discontinuation of use. Default value is 10%.",Fractional reduction in HFC emission factors per production quantity.,,
68,IPPU: Reduce Nitrous Oxide emissions,IP,TFR:IPPU:DEC_N2O,"Decrease the emission of N2O in industrial processes through technological change, leak control, and discontinuation of use. Default value is 10%.","Decrease the emission of N2O in industrial processes through technological change, leak control, and discontinuation of use. Default value is 10%.",Fractional reduction in N2O emission factors per production quantity.,,
69,IPPU: Reduce other fluorinated compounds,IP,TFR:IPPU:DEC_OTHER_FCS,"Includes SF6, NF3, HCFCs, and others",,Fractional reduction in other FCs emission factors per production quantity.,,
70,IPPU: Reduce use of PFCs,IP,TFR:IPPU:DEC_PFCS,"Decrease the emission of PFCs in industrial processes through technological change, leak control, and discontinuation of use. Default value is 10%.","Decrease the emission of PFCs in industrial processes through technological change, leak control, and discontinuation of use. Default value is 10%.",Fractional reduction in PFC emission factors per production quantity.,,
71,PFLO: Change diets,IP,TFR:PFLO:INC_HEALTHIER_DIETS,Includes a reduction in the demand for red meat and allows for changes to different crop demands.,,Fractional target maximum fraction of per-capita demand for red meat (cattle).,,
72,PFLO: Industrial carbon capture and sequestration,CROSS,TFR:PFLO:INC_IND_CCS,"Implements carbon capture at industrial facilities, affecting both INEN and IPPU emissions. Specify a minimum target fraction of industrial facilities using carbon capture (prevalence) and target effectiveness of carbon capture at those faciltiies.",,Minimum target fraction of industrial facilities using carbon capture (prevalence) and target effectiveness of carbon capture at those faciltiies.,,
