Variable Type,Variable,Subsector Variable Code,Information,Variable Schema,Categories,Reference,Default Value,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Simplex Group,Emissions Total by Gas Component,``$CAT-SOIL-MANAGEMENT$``,IPCC Emissions Sector Codes,IPCC Equation Reference,Notes
Input,Fraction of Food Produced Lost Before Consumption,frac_production_lost,Fraction of food that is produced that is lost or wasted before selling. This fraction represents production-side waste (post-yield) and does not include waste by consumers.,``frac_agrc_agriculture_production_lost``,none,,0,1,1,,0,none,,,
Input,Gravimetric Energy Density of Residues,ged_residues,"Lower-heating value (LHV) of crop residues, **including bagasse**. Used to estimate use in biomass substitution.","``energydensity_gravimetric_agrc_residues_$UNIT-ENERGY$_per_$UNIT-MASS$_$CAT-AGRICULTURE$`` (``$UNIT-MASS$ = kg``, ``$UNIT-ENERGY$ = mj``)",``cereals``|``other_annual``|``pulses``|``rice``|``sugar_cane``|``tubers``,,10,0.8,1.2,,0,none,,,
Input,Initial Cropland Area Proportion,area_prop_init,"Proportion of total **crop** area (%/100), where crop area is calculated as the product of the country's area (``area_country_ha``) and the fraction of land use that is devoted to crop land (``frac_lu_cropland``)",``frac_agrc_initial_area_cropland_$CAT-AGRICULTURE$``,all,,0,1,1,3,0,none,,,
Input,N Content of Above Ground Residues,n_content_of_above_ground_residues,See :math:`N_{AG(T)}` in Equation 11.6 in IPCC GNGHGI and Table 11.1A (2019R),``frac_agrc_n_in_above_ground_residue_$CAT-AGRICULTURE$``,``cereals``|``other_annual``|``pulses``|``rice``|``tubers``,,0,1,1,,0,none,,,
Input,N Content of Below Ground Residues,n_content_of_below_ground_residues,See :math:`N_{BG(T)}` in Equation 11.6 in IPCC GNGHGI and Table 11.1A (2019R),``frac_agrc_n_in_below_ground_residue_$CAT-AGRICULTURE$``,``cereals``|``other_annual``|``pulses``|``rice``|``tubers``,,0,1,1,,0,none,,,
Input,No Till Crop Fraction,frac_no_till,Fraction of crop area that is subject to no-till,``frac_agrc_no_till_$CAT-AGRICULTURE$``,``cereals``|``fibers``|``other_annual``|``pulses``|``tubers``|``vegetables_and_vines``,,0,1,1,,0,none,,,
Input,Ratio of Above Ground Residue to Harvested Yield,ratio_above_ground_residue_to_harvested_yield,,``ratio_agrc_above_ground_residue_to_yield_$CAT-AGRICULTURE$``,``cereals``|``other_annual``|``pulses``|``rice``|``tubers``,,0,1,1,,0,none,,,
Output,:math:`\text{CH}_4` Emissions from Biomass Burning,emissions_ch4_biomass_burning,,``emission_co2e_$EMISSION-GAS$_agrc_biomass_burning`` (``$EMISSION-GAS$ = ch4``),none,,0,1,1,,1,none,,,
Output,:math:`\text{CH}_4` Emissions from Rice,emissions_ch4_rice,Captures :math:`\text{CH}_4` emissions from rice paddies,``emission_co2e_$EMISSION-GAS$_agrc_anaerobicdom_$CAT-AGRICULTURE$`` (``$EMISSION-GAS$ = ch4``),``rice``,,0,1,1,,1,none,,,
Output,:math:`\text{CO}_2` Emissions from Biomass Carbon Stock Changes,emissions_co2_biomass,,``emission_co2e_$EMISSION-GAS$_agrc_biomass_$CAT-AGRICULTURE$`` (``$EMISSION-GAS$ = co2``),``bevs_and_spices``|``fruits``|``nuts``|``other_woody_perennial``,,0,1,1,,1,none,,,
Output,:math:`\text{N}_2\text{O}` Emissions from Biomass Burning,emissions_n2o_biomass_burning,,``emission_co2e_$EMISSION-GAS$_agrc_biomass_burning`` (``$EMISSION-GAS$ = n2o``),none,,0,1,1,,1,none,,,
Output,:math:`\text{N}_2\text{O}` Emissions from Crop Residues,emissions_n2o_crop_residues,,``emission_co2e_$EMISSION-GAS$_agrc_crop_residues`` (``$EMISSION-GAS$ = n2o``),none,,0,1,1,,1,none,,,
Output,Adjusted Agriculture Equivalent Exports,adjusted_equivalent_exports,Final total endogenous exports following adjustments to land use (reallocation and/or import/export loss),``exportsadj_agrc_$CAT-AGRICULTURE$_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),all,,0,1,1,,0,none,,,
Output,Adjusted Agriculture Equivalent Imports,adjusted_equivalent_imports,Final total endogenous imports following adjustments to land use (reallocation and/or import/export loss),``importssadj_agrc_$CAT-AGRICULTURE$_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),all,,0,1,1,,0,none,,,
Output,Changes to Agriculture Net Imports Lost,changes_to_net_imports_lost," | Use this value to quantify the opportunity cost of reducing crop production for export.
 | 
 | If specifying values of **Fraction of Changes to Net Exports Met** or **Fraction of Changes to Net Imports Met**  :math:`\not= 1` (see variables in the `Land Use <../afolu.html#land_use>_` subsector), then reductions in changes to net imports may incur economic costs. ",``qty_agrc_changes_in_net_imports_lost_$CAT-AGRICULTURE$_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),all,,0,1,1,,0,none,,,
Output,Crop Area,area_crop,Total area of each crop given in terms of the value specified in the configuration parameter ``area_units``.,``area_agrc_crops_$CAT-AGRICULTURE$``,all,,0,1,1,,0,none,,,
Output,Crop Demand,demand_crops,Total tonnage of crops demanded,``demand_agrc_$CAT-AGRICULTURE$_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),all,,0,1,1,,0,none,,,
Output,Crop Residue Final Use - Burned,residue_final_use_burned,Total mass of crop residues burned,``qty_agrc_residue_final_use_burned_$UNIT-MASS$``  (``$UNIT-MASS$ = tonne``),none,,0,1,1,,0,none,,,
Output,Crop Residue Final Use - Energy,residue_final_use_energy,Total mass of crop residues used for energy in ,``qty_agrc_residue_final_use_energy_$UNIT-MASS$``  (``$UNIT-MASS$ = tonne``),none,,0,1,1,,0,none,,,
Output,Crop Residue Final Use - Feed,residue_final_use_feed,Total mass,``qty_agrc_residue_final_use_feed_$UNIT-MASS$``  (``$UNIT-MASS$ = tonne``),none,,0,1,1,,0,none,,,
Output,Crop Residue Final Use - Left on Field,residue_final_use_field,,``qty_agrc_residue_final_use_field_$UNIT-MASS$``  (``$UNIT-MASS$ = tonne``),none,,0,1,1,,0,none,,,
Output,Crop Yield,yield,Total tonnage of crops yielded,``yield_agrc_$CAT-AGRICULTURE$_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),all,,0,1,1,,0,none,,,
Output,Cropland Area Proportion,area_prop_calc,Proportion of cropland represented by each crop,``frac_area_cropland_calculated_$CAT-AGRICULTURE$``,all,,0,1,1,,0,none,,,
Output,Total Food Loss Sent to Municipal Solid Waste,total_food_lost_in_ag_to_msw,"Total food lost in agriculture production due to waste, supply chain inefficiences, poor harvesting practices, and more that is sent to municipal solid waste. ",``qty_agrc_food_produced_lost_sent_to_msw_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),none,,0,1,1,,0,none,,,
Output,Total Food Produced Lost Before Consumption,total_food_lost_in_ag,"Total food lost in agriculture production due to waste, supply chain inefficiences, poor harvesting practices, and more.",``qty_agrc_total_food_produced_lost_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),none,,0,1,1,,0,none,,,
