Variable Type,Variable,Information,Variable Schema,Categories,Reference,Default Value,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Simplex Group,Emissions Total by Gas Component,Notes
Input,Average Oxidization Factor at Landfills,"Oxidization factor (see V5, C3, Table 3.2) for landfills. The oxidization factor represents a practice at well-managed landfills of covering landfills with with :math:`\text{CH}_4` oxidising material--e.g., soild or compost. Should not exceed 0.1.",``oxf_waso_average_landfilled``,none,,0,1.0,1.0,,0,
Input,Average VKMT Per Waste Collection Vehicle,"Average annual Vehicle Kilometers Traveled (VKMT) per waste collection vehicle. Used to calculate a marginal increase in heavy transport transportation demand resulting from an increase in waste collection, which is passed to the transportation model.",``vkmt_per_vehicle_waso``,none,,0,1.0,1.0,,0,
Input,Biogas Recovery Factor,Factor representing faction of biogas recovered for energy production. Recovery of biogass prevents emissions.,``gasrf_waso_biogas``,none,,0,1.0,1.0,,0,
Input,Elasticity of Municipal Solid Waste Produced to GDP per Capita,"The elasticity of waste per capita to GDP per capita, which is used to estimate increases in waste as population and GDP/capita rise.",``elasticity_waso_msw_to_gdppc_$CAT-WASTE-SOLID$``,all,,0,1.0,1.0,,0,
Input,Fraction of ISW Incineration Recovered for Energy,Incineration can be open burning or for energy. This fraction :math:`a` represents the how much ISW is incinerated for energy production. :math:`1 - a` is then assumed to be some mix of open burning and icineration. Incinerable waste can be passed to the Energy model as a Fuel.,``frac_waso_isw_incinerated_recovered_for_energy``,none,,0,1.0,1.0,,0,
Input,Fraction of Landfill Gas Recovered at Landfills,"Represents the proportion of methane emitted at landfills that is captured. This represents an average over the country across all landfills, as SISEPUEDE does not distinguish between sanitary landfills, controlled landfills, or other landfills.",``frac_waso_landfill_gas_recovered``,none,,0,1.0,1.0,,0,
Input,Fraction of Landfill Gas Recovered for Energy,Landfil gas can be captured and converted to energy. This fraction :math:`a` represents the how much landfil gas that is *captured* is converted to energy. :math:`1 - a` is then assumed to be recovered and not converted to energy (or flared). Landfill gas can be passed to the Energy model as a Fuel.,``frac_waso_lgc_recovered_for_energy``,none,,0,1.0,1.0,,0,
Input,Fraction of MSW Incineration Recovered for Energy,Incineration can be open burning or for energy. This fraction :math:`a` represents the how much MSW is incinerated for energy production. :math:`1 - a` is then assumed to be some mix of open burning and icineration. Incinerable waste can be passed to the Energy model as a Fuel.,``frac_waso_msw_incinerated_recovered_for_energy``,none,,0,1.0,1.0,,0,
Input,Fraction of Methane Flared at Composting Facilities,,``frac_waso_compost_methane_flared``,none,,0,1.0,1.0,,0,
Input,Fraction of Non-Recycled Solid Waste Incinerated,Proportion of non-recycled municipal waste that is burned in incineration facilities and in open burn sites. ,``frac_waso_non_recycled_incinerated``,none,,0,1.0,1.0,1.0,0,
Input,Fraction of Non-Recycled Solid Waste Landfilled,Proportion of non-recycled municipal waste that is landfilled. Landfills include different levels of management,``frac_waso_non_recycled_landfilled``,none,,0,1.0,1.0,1.0,0,
Input,Fraction of Non-Recycled Solid Waste Open Dumps,Proportion of non-recycled municipal waste that is ends up in open dumpsites,``frac_waso_non_recycled_open_dump``,none,,0,1.0,1.0,1.0,0,
Input,Fraction of Waste Composted,"Fraction of waste in category ``CAT-WASTE-SOLID`` composted. This value should be :math:`\in [0, 1]`.",``frac_waso_compost_$CAT-WASTE-SOLID$``,``food``|``sludge``|``yard``,,0,1.0,1.0,,0,
Input,Fraction of Waste Recycled,"Fraction of waste in category ``CAT-WASTE-SOLID`` that is recycled. This value should be :math:`\in [0, 1]`.",``frac_waso_recycled_$CAT-WASTE-SOLID$``,``glass``|``metal``|``paper``|``plastic``|``rubber_leather``|``textiles``|``wood``,,0,1.0,1.0,,0,
Input,Fraction of Waste Treated Anaerobically,"Fraction of waste in category ``CAT-WASTE-SOLID`` treated anaerobically. This value should be :math:`\in [0, 1]`.",``frac_waso_biogas_$CAT-WASTE-SOLID$``,``food``|``sludge``|``yard``,,0,1.0,1.0,,0,
Input,Historical Back Projection Growth Rate in Solid Waste Generation,Primary a calibration parameter if using the back-projection method for solid waste. The growth rate at time :math:`t = 0` is applied backwards to estimate waste landfilled in previous years. The back projection method should only be used in the absence of historical data.,``historical_back_projection_growth_rate``,none,,0,1.0,1.0,,0,
Input,Initial Composition Fraction Industrial Solid Waste,Represents the fraction of all industrial solid waste represented by this type,``frac_waso_initial_composition_ind_$CAT-WASTE-SOLID$``,all,,0,1.0,1.0,1.0,0,"Defaults taken as average between Central and South American from V5, C2"
Input,Initial Composition Fraction Municipal Solid Waste,Represents the initial fraction of all domestic solid waste represented by this type. Per capita growth rates in waste generated by category are projected by applying elasticities to changes in gdp/capita.,``frac_waso_initial_composition_mun_$CAT-WASTE-SOLID$``,all,,0,1.0,1.0,2.0,0,
Input,Initial Per Capita Municipal Solid Waste Generated,"Represents the estimated quantity, in kg/person, of solid waste generated per person at time :math:`t = 0`. The total waste generated per person is then estimated for each waste composition category using the elasticity of waste production to income (GDP/Capita).",``qty_waso_initial_municipal_waste_$UNIT-MASS$_per_capita`` (``$UNIT-MASS$ = tonne``),none,,0,1.0,1.0,,0,"Country level data are available from the  `World Bank Waste Database <https://datacatalog.worldbank.org/search/dataset/0039597>`_. Additional regional defaults are available in V5, C2, Table 2.1 of IPCC GNGHGI  for default rates by region. "
Input,K," | Methane Generation Rate :math:`k`, a physical parameter characterizing the mass decay half-life of each type of waste that is landfilled.
 | 
 | Default values of *k* are taken from Volume 5, Chapter 3, Table 3.3 of the IPCC Guidelines for National Greenhouse Gas Inventories.",``physparam_waso_k_$CAT-WASTE-SOLID$``,all,,0,1.0,1.0,,0,"Note that, for a half life *t*, the factor *k* is found as :math:`k = \ln(2)/t`."
Input,Per GDP Industrial Solid Waste Generated,Industrial waste generated per GDP,``qty_waso_industrial_waste_$UNIT-MASS$_per_mmm_gdp`` (``$UNIT-MASS$ = kt``),none,,0,1.0,1.0,,0,
Input,Waste Per Capita Scale Factor," | Use the scale factor to represent reduction measures in waste production within a category; for example, waste reduction campaigns might affect all categories, but a tax on plastic might only reduce the generation of plastic waste.
 |
 | **IMPORTANT NOTE**: For the sludge cateogry, this factor will only affect sludge that is specified exogenously. It will **not** affect sludge produced from aerobic and septic wastewater treatement in the Wastewater Treatment subsector. Any interventions to reduce sludge produced in wastewater treatment should be addressed in the wastewater treatment sector.",``factor_waso_waste_per_capita_scalar_$CAT-WASTE-SOLID$``,all,,0,1.0,1.0,,0,none
Output,:math:`\text{CH}_4` Emissions from Anaerobic Biogas,"Emissions from anaerobic decomposition organic waste in biogas plants. This waste stream flow is used to generate energy. Note that methane leakage from these plants is assumed to be 5% with a range of 0 - 10 % (see 2006 IPCC GHG guidance Volume 5, Chapter 4, page 4.4)",``emission_co2e_$EMISSION-GAS$_waso_biogas_$CAT-WASTE-SOLID$`` (``$EMISSION-GAS$ = ch4``),``food``|``sludge``|``yard``,,0,1.0,1.0,,1,
Output,:math:`\text{CH}_4` Emissions from Composting,,``emission_co2e_$EMISSION-GAS$_waso_compost_$CAT-WASTE-SOLID$`` (``$EMISSION-GAS$ = ch4``),``food``|``sludge``|``yard``,,0,1.0,1.0,,1,
Output,:math:`\text{CH}_4` Emissions from Incineration,Total :math:`\text{CH}_4` emissions from incineration (combined MSW and ISW),``emission_co2e_$EMISSION-GAS$_waso_incineration`` (``$EMISSION-GAS$ = ch4``),none,,0,1.0,1.0,,1,
Output,:math:`\text{CH}_4` Emissions from Landfills,Captures :math:`\text{CH}_4` emissions from landfills (:math:`\text{CH}_4` is assumed to be 50% of landfill gas.,``emission_co2e_$EMISSION-GAS$_waso_landfilled_$CAT-WASTE-SOLID$`` (``$EMISSION-GAS$ = ch4``),all,,0,1.0,1.0,,1,
Output,:math:`\text{CH}_4` Emissions from Open Dumping,"Captures :math:`\text{CH}_4` emissions from open dumping. Aerobic decomposition can occur at lower levels with open dumping, but there is no collection of gas.",``emission_co2e_$EMISSION-GAS$_waso_open_dump_$CAT-WASTE-SOLID$`` (``$EMISSION-GAS$ = ch4``),all,,0,1.0,1.0,,1,
Output,:math:`\text{CO}_2` Emissions from Incineration,Total :math:`\text{CO}_2` emissions from incineration (combined MSW and ISW),``emission_co2e_$EMISSION-GAS$_waso_incineration`` (``$EMISSION-GAS$ = co2``),none,,0,1.0,1.0,,1,
Output,:math:`\text{N}_2\text{O}` Emissions from Composting,,``emission_co2e_$EMISSION-GAS$_waso_compost_$CAT-WASTE-SOLID$`` (``$EMISSION-GAS$ = n2o``),``food``|``sludge``|``yard``,,0,1.0,1.0,,1,
Output,:math:`\text{N}_2\text{O}` Emissions from Incineration,Total :math:`\text{N}_2\text{O}` emissions from incineration (combined MSW and ISW),``emission_co2e_$EMISSION-GAS$_waso_incineration`` (``$EMISSION-GAS$ = n2o``),none,,0,1.0,1.0,,1,
Output,Biogas Recovered from Anaerobic Facilities,"Biogas is a mixture of methane, carbon dioxide, water vapor, hydrogen suflide, and other gases. See `The EPA <https://www.epa.gov/agstar/how-does-anaerobic-digestion-work>`_ for an overview of anaerobic digestion and biogas.",``gasrecovered_waso_biogas_anaerobic_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),none,,0,1.0,1.0,,0,
Output,Biogas Recovered from Landfills,Mass of methane recovered from landfill gas that is colleted.,``gasrecovered_waso_biogas_landfills_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),none,,0,1.0,1.0,,0,
Output,Total ISW Recovered for Energy,Total quantity of industrial solid waste that is recovered for energy use.,``qty_waso_isw_recovered_for_energy_incineration_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),none,,0,,,,0,
Output,Total MSW Recovered for Energy,Total quantity of municipal solid waste that is recovered for energy use.,``qty_waso_msw_recovered_for_energy_incineration_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),none,,0,,,,0,
Output,Total Solid Waste Produced,Total waste produced from industry and municipal sources. ,``qty_waso_total_$CAT-WASTE-SOLID$_produced_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),all,,0,1.0,1.0,,0,none
Output,Total Waste Anaerobic Biogas,Total quantity of waste sent to anaerobic biogas facilities.,``qty_waso_biogas_$CAT-WASTE-SOLID$_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),``food``|``sludge``|``yard``,,0,1.0,1.0,,0,
Output,Total Waste Composted,Total quantity of waste composted in tonnes.,``qty_waso_compost_$CAT-WASTE-SOLID$_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),``food``|``sludge``|``yard``,,0,1.0,1.0,,0,
Output,Total Waste Incinerated,Total quantity of waste incinterated in tonnes.,``qty_waso_incinerated_$CAT-WASTE-SOLID$_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),all,,0,1.0,1.0,,0,
Output,Total Waste Landfilled,Total quantity of waste landfilled in tonnes.,``qty_waso_landfilled_$CAT-WASTE-SOLID$_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),all,,0,1.0,1.0,,0,
Output,Total Waste Open Dumped,Total quantity of waste open dumped in tonnes.,``qty_waso_open_dump_$CAT-WASTE-SOLID$_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),all,,0,1.0,1.0,,0,
Output,Total Waste Recycled,Total quantity of waste recycled in tonnes.,``qty_waso_recycled_$CAT-WASTE-SOLID$_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),``glass``|``metal``|``paper``|``plastic``|``rubber_leather``|``textiles``|``wood``,,0,1.0,1.0,,0,
