Variable Type,Variable,Information,Variable Schema,Categories,Reference,Default Value,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Simplex Group,Emissions Total by Gas Component,Fraction Manure Management,``$CAT-MANURE-MANAGEMENT$``,Notes
Input,Livestock Equivalent Exports,Exports of livestock equivalent products (head of livestock),``exports_lvst_$CAT-LIVESTOCK$``,all,,0,1,1,,0,0,none,
Input,Livestock Manure Management Fraction Anaerobic Digester,,``frac_lvst_mm_$CAT-LIVESTOCK$_anaerobic_digester``,all," | `FAO Manure Management (CH4) <https://www.fao.org/faostat/en/#data/GM (Manure Management /Emissions CH4)>`_
 | 
 | `FAO Manure Management (N2O) <https://www.fao.org/faostat/en/#data/GM>`_",0,1,1,1,0,1,``anaerobic_digester``,| Default values taken from IPCC GNGHGI V4 Table 10A.6
Input,Livestock Manure Management Fraction Anaerobic Lagoon,,``frac_lvst_mm_$CAT-LIVESTOCK$_anaerobic_lagoon``,all," | `FAO Manure Management (CH4) <https://www.fao.org/faostat/en/#data/GM (Manure Management /Emissions CH4)>`_
 | 
 | `FAO Manure Management (N2O) <https://www.fao.org/faostat/en/#data/GM>`_",0,1,1,1,0,1,``anaerobic_lagoon``,| Default values taken from IPCC GNGHGI V4 Table 10A.6
Input,Livestock Manure Management Fraction Composting,,``frac_lvst_mm_$CAT-LIVESTOCK$_composting``,all," | `FAO Manure Management (CH4) <https://www.fao.org/faostat/en/#data/GM (Manure Management /Emissions CH4)>`_
 | 
 | `FAO Manure Management (N2O) <https://www.fao.org/faostat/en/#data/GM>`_",0,1,1,1,0,1,``composting``,| Default values taken from IPCC GNGHGI V4 Table 10A.6
Input,Livestock Manure Management Fraction Daily Spread,,``frac_lvst_mm_$CAT-LIVESTOCK$_daily_spread``,all," | `FAO Manure Management (CH4) <https://www.fao.org/faostat/en/#data/GM (Manure Management /Emissions CH4)>`_
 | 
 | `FAO Manure Management (N2O) <https://www.fao.org/faostat/en/#data/GM>`_",0,1,1,1,0,1,``daily_spread``,| Default values taken from IPCC GNGHGI V4 Table 10A.6
Input,Livestock Manure Management Fraction Deep Bedding,,``frac_lvst_mm_$CAT-LIVESTOCK$_deep_bedding``,all," | `FAO Manure Management (CH4) <https://www.fao.org/faostat/en/#data/GM (Manure Management /Emissions CH4)>`_
 | 
 | `FAO Manure Management (N2O) <https://www.fao.org/faostat/en/#data/GM>`_",0,1,1,1,0,1,``deep_bedding``,| Default values taken from IPCC GNGHGI V4 Table 10A.7
Input,Livestock Manure Management Fraction Dry Lot,,``frac_lvst_mm_$CAT-LIVESTOCK$_dry_lot``,all," | `FAO Manure Management (CH4) <https://www.fao.org/faostat/en/#data/GM (Manure Management /Emissions CH4)>`_
 | 
 | `FAO Manure Management (N2O) <https://www.fao.org/faostat/en/#data/GM>`_",0,1,1,1,0,1,``dry_lot``,| Default values taken from IPCC GNGHGI V4 Table 10A.8
Input,Livestock Manure Management Fraction Incineration,,``frac_lvst_mm_$CAT-LIVESTOCK$_incineration``,all," | `FAO Manure Management (CH4) <https://www.fao.org/faostat/en/#data/GM (Manure Management /Emissions CH4)>`_
 | 
 | `FAO Manure Management (N2O) <https://www.fao.org/faostat/en/#data/GM>`_",0,1,1,1,0,1,``incineration``,| Default values taken from IPCC GNGHGI V4 Table 10A.9
Input,Livestock Manure Management Fraction Liquid Slurry,,``frac_lvst_mm_$CAT-LIVESTOCK$_liquid_slurry``,all," | `FAO Manure Management (CH4) <https://www.fao.org/faostat/en/#data/GM (Manure Management /Emissions CH4)>`_
 | 
 | `FAO Manure Management (N2O) <https://www.fao.org/faostat/en/#data/GM>`_",0,1,1,1,0,1,``liquid_slurry``,| Default values taken from IPCC GNGHGI V4 Table 10A.10
Input,Livestock Manure Management Fraction Paddock Pasture Range,,``frac_lvst_mm_$CAT-LIVESTOCK$_paddock_pasture_range``,all," | `FAO Manure Management (CH4) <https://www.fao.org/faostat/en/#data/GM (Manure Management /Emissions CH4)>`_
 | 
 | `FAO Manure Management (N2O) <https://www.fao.org/faostat/en/#data/GM>`_",0,1,1,1,0,1,``paddock_pasture_range``,| Default values taken from IPCC GNGHGI V4 Table 10A.11
Input,Livestock Manure Management Fraction Poultry Manure,,``frac_lvst_mm_$CAT-LIVESTOCK$_poultry_manure``,all," | `FAO Manure Management (CH4) <https://www.fao.org/faostat/en/#data/GM (Manure Management /Emissions CH4)>`_
 | 
 | `FAO Manure Management (N2O) <https://www.fao.org/faostat/en/#data/GM>`_",0,1,1,1,0,1,``poultry_manure``,| Default values taken from IPCC GNGHGI V4 Table 10A.12
Input,Livestock Manure Management Fraction Solid Storage,,``frac_lvst_mm_$CAT-LIVESTOCK$_solid_storage``,all," | `FAO Manure Management (CH4) <https://www.fao.org/faostat/en/#data/GM (Manure Management /Emissions CH4)>`_
 | 
 | `FAO Manure Management (N2O) <https://www.fao.org/faostat/en/#data/GM>`_",0,1,1,1,0,1,``storage_solid``,| Default values taken from IPCC GNGHGI V4 Table 10A.10
Input,Maximum Manure :math:`\text{CH}_4` Generation Capacity,,"``physparam_lvst_bo_$CAT-LIVESTOCK$_$UNIT-MASS$_$EMISSION-GAS$_$UNIT-MASS$_manure`` (``$EMISSION-GAS$ = ch4``, ``$UNIT-MASS$ = kg``)",all,| Default values taken from IPCC GNGHGI V4 Table 10A.16,0,1,1,,0,0,none,
Output,:math:`\text{CH}_4` Emissions from Livestock Enteric Fermentation,Methane emissions from enteric fermentation,``emission_co2e_$EMISSION-GAS$_lvst_entferm_$CAT-LIVESTOCK$`` (``$EMISSION-GAS$ = ch4``),all,,0,1,1,,1,0,none,
Output,Adjusted Livestock Equivalent Exports,,``exportsadj_lvst_$CAT-LIVESTOCK$``,all,,0,1,1,,0,0,none,
Output,Adjusted Livestock Equivalent Imports,,``importssadj_lvst_$CAT-LIVESTOCK$``,all,,0,1,1,,0,0,none,
Output,Changes to Livestock Net Imports Lost," | Use this value to quantify the opportunity cost of reducing crop production for export.
 | 
 | If specifying values of **Fraction of Changes to Net Exports Met** or **Fraction of Changes to Net Imports Met**  :math:`\not= 1` (see variables in the `Land Use <../afolu.html#land_use>_` subsector), then reductions in changes to net imports may incur economic costs. ",``qty_lvst_changes_in_net_imports_lost_$CAT-LIVESTOCK$``,all,,0,1,1,,0,0,none,
Output,Livestock Demand,Total production demand for heads of livestock,``demand_lvst_$CAT-LIVESTOCK$``,all,,0,1,1,,0,0,none,
Output,Livestock Head Count,"Estimated as a function of land use, carrying capacity, and the **Carrying Capacity Scalar**. ",``pop_lvst_$CAT-LIVESTOCK$``,all,,0,1,1,,0,0,none,
Output,Total Domestic Animal Mass,"Sum, across all livestock animals, of product of head of livestock and weight per head less changes to net imports. This value is used in the integrated model to project changes to protein consumption in the circular economy model. ",``qty_lvst_domestic_animal_mass_$UNIT-MASS$`` (``$UNIT-MASS$ = mt``),none,,0,1,1,,0,1,none,
